MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
3001059041,474400025,5.51,327.0,517.49,196.0,31000045.0,1044.0,125005,Jurassic sediments,,LILIANA STOIAN,SAGeodata,,,-999999.0,
3001059041,474400025,327.0,337.85,196.0,185.15,31000126.0,1125.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,LILIANA STOIAN,SAGeodata,,,-999999.0,
3001059041,474400025,337.85,361.28,185.15,161.72,31000045.0,1044.0,125005,Jurassic sediments,,LILIANA STOIAN,SAGeodata,,,-999999.0,
3005528041,524500027,0.0,13.0,694.0,681.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,SANDY CLAY,PAYNE JL,SAGeodata,,,-999999.0,
3005528041,524500027,13.0,19.0,681.0,675.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
3005528041,524500027,19.0,26.0,675.0,668.0,31000045.0,1044.0,125005,Jurassic sediments,FRACTURED,PAYNE JL,SAGeodata,,,-999999.0,
3005872281,494500043,0.0,27.0,689.0,662.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,SANDY TOPSOIL WITH CLAY BENEATH,PAYNE JL,SAGeodata,,,-999999.0,
3005872281,494500043,27.0,38.0,662.0,651.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3007826431,524500024,0.0,6.0,694.0,688.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3007826431,524500024,6.0,15.0,688.0,679.0,31000137.0,1136.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3007826431,524500024,15.0,27.0,679.0,667.0,31000045.0,1044.0,125005,Jurassic sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3007828981,474500079,0.0,3.0,656.0,653.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,SANDY AND CLAYEY TOPSOIL WITH WEATHERED GRANULITE FRAGMENTS,"G. NICHOLS, (ALTERED BY JLP)",SAGeodata,,,-999999.0,
3007828981,474500079,3.0,9.0,653.0,647.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"PALE GREY TO BUFF COLOURED, HIGHLY WEATHERED WITH ABUNDANT CLAY, FIRM TO FRIABLE","G. NICHOLS, (ALTERED BY JLP)",SAGeodata,,,-999999.0,
3007828981,474500079,9.0,16.5,647.0,639.5,31000045.0,1044.0,125005,Jurassic sediments,"MEDIUM GREY TO GREYISH GREEN, MEDIUM GRAINED, CRYSTALLINE QUARTZ, PLAGIOCLASE AND MAFIC MINERALS, FRESH TO SLIGHTLY WEATHERED","G. NICHOLS, (ALTERED BY JLP)",SAGeodata,,,-999999.0,
3007857021,494500024,0.0,3.0,715.0,712.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3007857021,494500024,3.0,15.0,712.0,700.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
