MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
3001034591,474500367,0.0,69.0,693.0,624.0,LIN,PVC12,65.0,,UNK,,UNK,1.0,
3001034591,474500367,0.0,96.0,693.0,597.0,VOID,UNK,,,UNK,,UNK,1.0,
3001034591,474500367,69.0,96.0,624.0,597.0,INLT,UPVC12,65.0,,SLAP,,RC,1.0,
3001929161,514500023,0.0,24.08,661.0,636.92,LIN,UNK,152.0,,UNK,,UNK,1.0,
3001929161,514500023,0.0,24.08,661.0,636.92,VOID,UNK,,,UNK,,UNK,1.0,
3005039421,534500167,-0.3,4.7,597.25,592.25,LIN,STL,260.0,,UNK,,UNK,1.0,
3005039421,534500167,-0.3,4.7,597.25,592.25,VOID,UNK,,,UNK,,UNK,1.0,
3005528041,524500027,-0.5,5.5,694.5,688.5,LIN,STL,206.0,,UNK,,UNK,1.0,
3005528041,524500027,-0.5,26.0,694.5,668.0,LIN,PVC,150.0,,UNK,,UNK,1.0,
3005528041,524500027,-0.5,26.0,694.5,668.0,VOID,UNK,,,UNK,,UNK,1.0,
3005528041,524500027,17.0,23.0,677.0,671.0,INLT,UPVC,150.0,,SLAP,2.0,ROT,1.0,
3005872281,494500043,-0.5,26.0,689.5,663.0,LIN,PVC,150.0,,UNK,,UNK,1.0,
3005872281,494500043,-0.5,38.0,689.5,651.0,VOID,UNK,,,UNK,,UNK,1.0,
3005872281,494500043,-0.3,5.7,689.3,683.3,LIN,STL,206.0,,UNK,,UNK,1.0,
3005872281,494500043,26.0,32.0,663.0,657.0,INLT,UPVC,150.0,,SLAP,2.0,ROT,1.0,
3005872281,494500043,32.0,38.0,657.0,651.0,INLT,UPVC,150.0,,UNK,,ROT,1.0,
3007826431,524500024,4.0,14.0,690.0,680.0,LIN,UNK,152.0,,UNK,,UNK,1.0,
3007826431,524500024,4.0,27.0,690.0,667.0,VOID,UNK,,,UNK,,UNK,1.0,
3007826431,524500024,14.0,20.5,680.0,673.5,INLT,UNK,152.0,,PS,,UNK,1.0,
3007826431,524500024,20.5,27.0,673.5,667.0,INLT,UNK,152.0,,UNK,,UNK,1.0,
3007828981,474500079,-0.3,10.0,656.3,646.0,LIN,STL,152.0,,UNK,,UNK,1.0,
