MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,GALithType,MajorLithCode,MinorLithCode,Description,Source,LogType,isBasement,geometry
3000020001,CHRB0048,0.0,8.0,646.0,638.0,sand,,,,,,-999.0,
3000020001,CHRB0048,8.0,14.0,638.0,632.0,alluvial sediment,,,,,,-999.0,
3000020001,CHRB0048,14.0,17.0,632.0,629.0,calcrete,,,,,,-999.0,
3000020001,CHRB0048,17.0,25.0,629.0,621.0,calcrete,,,,,,-999.0,
3000020001,CHRB0048,25.0,27.0,621.0,619.0,alluvial sediment,,,,,,-999.0,
3000022001,CHRB0049,0.0,8.0,643.0,635.0,sand,,,,,,-999.0,
3000022001,CHRB0049,8.0,13.0,635.0,630.0,calcrete,,,,,,-999.0,
3000022001,CHRB0049,13.0,22.0,630.0,621.0,calcrete,,,,,,-999.0,
3000022001,CHRB0049,22.0,24.0,621.0,619.0,alluvial sediment,,,,,,-999.0,
3000024001,CHRB0050,0.0,10.0,647.0,637.0,sand,,,,,,-999.0,
3000024001,CHRB0050,10.0,14.0,637.0,633.0,calcrete,,,,,,-999.0,
3000026001,CHRB0051,0.0,5.0,649.0,644.0,sand,,,,,,-999.0,
3000026001,CHRB0051,5.0,13.0,644.0,636.0,alluvial sediment,,,,,,-999.0,
3000026001,CHRB0051,13.0,14.0,636.0,635.0,saprock,,,,,,-999.0,
3000028001,CHRB0052,0.0,10.0,647.0,637.0,sand,,,,,,-999.0,
3000028001,CHRB0052,10.0,13.0,637.0,634.0,gabbro,,,,,,1.0,
3000030001,CHRB0053,0.0,9.0,649.0,640.0,clay,,,,,,-999.0,
3000030001,CHRB0053,9.0,21.0,640.0,628.0,calcrete,,,,,,-999.0,
3000030001,CHRB0053,21.0,27.0,628.0,622.0,alluvial sediment,,,,,,-999.0,
3000032001,CHRB0054,0.0,2.0,648.0,646.0,sand,,,,,,-999.0,
3000032001,CHRB0054,2.0,3.0,646.0,645.0,alluvial sediment,,,,,,-999.0,
3000032001,CHRB0054,3.0,9.0,645.0,639.0,sand,,,,,,-999.0,
3000032001,CHRB0054,9.0,16.0,639.0,632.0,alluvial sediment,,,,,,-999.0,
3000032001,CHRB0054,16.0,19.0,632.0,629.0,calcrete,,,,,,-999.0,
3000032001,CHRB0054,19.0,24.0,629.0,624.0,alluvial sediment,,,,,,-999.0,
3000034001,CHRB0055,0.0,8.0,649.0,641.0,sand,,,,,,-999.0,
3000034001,CHRB0055,8.0,11.0,641.0,638.0,alluvial sediment,,,,,,-999.0,
3000034001,CHRB0055,11.0,19.0,638.0,630.0,calcrete,,,,,,-999.0,
3000034001,CHRB0055,19.0,22.0,630.0,627.0,alluvial sediment,,,,,,-999.0,
